Date	BRCA1	RNF53	BRCC1	PPP1R53	FANCS	BRCA2	FANCD1	FACD	FANCD	FAD	FAD1	BRCC2	XRCC11
1971-1	0	0	0	0	0	0	0	0	0	0	0	0	0
1971-2	0	0	0	0	0	0	0	0	0	0	0	0	0
1971-3	0	0	0	0	0	0	0	0	0	0	0	0	0
1971-4	0	0	0	0	0	0	0	0	0	0	0	0	0
1971-5	0	0	0	0	0	0	0	0	0	0	0	0	0
1971-6	0	0	0	0	0	0	0	0	0	0	0	0	0
1971-7	0	0	0	0	0	0	0	0	0	0	0	0	0
1971-8	0	0	0	0	0	0	0	0	0	0	0	0	0
1971-9	0	0	0	0	0	0	0	0	0	0	0	0	0
1971-10	0	0	0	0	0	0	0	0	0	0	0	0	0
1971-11	0	0	0	0	0	0	0	0	0	0	0	0	0
1971-12	0	0	0	0	0	0	0	0	0	0	0	0	0
1972-1	0	0	0	0	0	0	0	0	0	0	0	0	0
1972-2	0	0	0	0	0	0	0	0	0	0	0	0	0
1972-3	0	0	0	0	0	0	0	0	0	0	0	0	0
1972-4	0	0	0	0	0	0	0	0	0	0	0	0	0
1972-5	0	0	0	0	0	0	0	0	0	0	0	0	0
1972-6	0	0	0	0	0	0	0	0	0	0	0	0	0
1972-7	0	0	0	0	0	0	0	0	0	0	0	0	0
1972-8	0	0	0	0	0	0	0	0	0	0	0	0	0
1972-9	0	0	0	0	0	0	0	0	0	0	0	0	0
1972-10	0	0	0	0	0	0	0	0	0	0	0	0	0
1972-11	0	0	0	0	0	0	0	0	0	0	0	0	0
1972-12	0	0	0	0	0	0	0	0	0	0	0	0	0
1973-1	0	0	0	0	0	0	0	0	0	0	0	0	0
1973-2	0	0	0	0	0	0	0	0	0	0	0	0	0
1973-3	0	0	0	0	0	0	0	0	0	0	0	0	0
1973-4	0	0	0	0	0	0	0	0	0	0	0	0	0
1973-5	0	0	0	0	0	0	0	0	0	0	0	0	0
1973-6	0	0	0	0	0	0	0	0	0	0	0	0	0
1973-7	0	0	0	0	0	0	0	0	0	0	0	0	0
1973-8	0	0	0	0	0	0	0	0	0	0	0	0	0
1973-9	0	0	0	0	0	0	0	0	0	0	0	0	0
1973-10	0	0	0	0	0	0	0	0	0	0	0	0	0
1973-11	0	0	0	0	0	0	0	0	0	0	0	0	0
1973-12	0	0	0	0	0	0	0	0	0	0	0	0	0
1974-1	0	0	0	0	0	0	0	0	0	0	0	0	0
1974-2	0	0	0	0	0	0	0	0	0	0	0	0	0
1974-3	0	0	0	0	0	0	0	0	0	0	0	0	0
1974-4	0	0	0	0	0	0	0	0	0	0	0	0	0
1974-5	0	0	0	0	0	0	0	0	0	0	0	0	0
1974-6	0	0	0	0	0	0	0	0	0	0	0	0	0
1974-7	0	0	0	0	0	0	0	0	0	0	0	0	0
1974-8	0	0	0	0	0	0	0	0	0	0	0	0	0
1974-9	0	0	0	0	0	0	0	0	0	0	0	0	0
1974-10	0	0	0	0	0	0	0	0	0	0	0	0	0
1974-11	0	0	0	0	0	0	0	0	0	0	0	0	0
1974-12	0	0	0	0	0	0	0	0	0	0	0	0	0
1975-1	0	0	0	0	0	0	0	0	0	0	0	0	0
1975-2	0	0	0	0	0	0	0	0	0	0	0	0	0
1975-3	0	0	0	0	0	0	0	0	0	0	0	0	0
1975-4	0	0	0	0	0	0	0	0	0	0	0	0	0
1975-5	0	0	0	0	0	0	0	0	0	0	0	0	0
1975-6	0	0	0	0	0	0	0	0	0	0	0	0	0
1975-7	0	0	0	0	0	0	0	0	0	0	0	0	0
1975-8	0	0	0	0	0	0	0	0	0	0	0	0	0
1975-9	0	0	0	0	0	0	0	0	0	0	0	0	0
1975-10	0	0	0	0	0	0	0	0	0	0	0	0	0
1975-11	0	0	0	0	0	0	0	0	0	0	0	0	0
1975-12	0	0	0	0	0	0	0	0	0	0	0	0	0
1976-1	0	0	0	0	0	0	0	0	0	0	0	0	0
1976-2	0	0	0	0	0	0	0	0	0	0	0	0	0
1976-3	0	0	0	0	0	0	0	0	0	0	0	0	0
1976-4	0	0	0	0	0	0	0	0	0	0	0	0	0
1976-5	0	0	0	0	0	0	0	0	0	0	0	0	0
1976-6	0	0	0	0	0	0	0	0	0	0	0	0	0
1976-7	0	0	0	0	0	0	0	0	0	0	0	0	0
1976-8	0	0	0	0	0	0	0	0	0	0	0	0	0
1976-9	0	0	0	0	0	0	0	0	0	0	0	0	0
1976-10	0	0	0	0	0	0	0	0	0	0	0	0	0
1976-11	0	0	0	0	0	0	0	0	0	0	0	0	0
1976-12	0	0	0	0	0	0	0	0	0	0	0	0	0
